ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3,y,country_ids,latitude,longitude,eng.prim
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,u,347.0,1001.0,2551,FALSE,BD IN NP,24.0,90.0,FALSE
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,i,357.0,2059.0,2690,FALSE,BD IN NP,24.0,90.0,FALSE
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,u,305.0,721.0,NA,FALSE,TD,8.60006,17.2691,FALSE
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,i,305.0,2091.0,NA,FALSE,TD,8.60006,17.2691,FALSE
bnh,Banawa,NA,Arawakan>Arauan,5,Wordlist,Uniform,i,311.0,2320.0,2822,FALSE,NA,NA,NA,FALSE
bnh,Banawa,NA,Arawakan>Arauan,5,Wordlist,Uniform,u,396.0,883.0,2685,FALSE,NA,NA,NA,FALSE
boa,Bora,NA,Witotoan>Boran,8,Isolation,Long,i,324.0,2257.0,3221,FALSE,BR CO PE,-2.91467,-68.9093,FALSE
bov,Tuwuli,NA,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,i,288.0,2145.0,XXX,FALSE,GH,7.31095,0.38008,FALSE
bov,Tuwuli,NA,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,u,315.0,985.0,XXX,FALSE,GH,7.31095,0.38008,FALSE
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,y,300.0,1750.0,2500,TRUE,FR,48.2452,-3.78934,FALSE
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,i,275.0,2100.0,2800,TRUE,FR,48.2452,-3.78934,FALSE
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,u,325.0,900.0,2500,TRUE,FR,48.2452,-3.78934,FALSE
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,i,400.0,2560.0,3120,FALSE,LA VN,17.1311,105.671,FALSE
