ISO	Language	Dialect	Genetics	Speakers	Method	Quantity	Harmony?	Vowels	Structure	Peripheral	Nonperipheral	V1OS	V1PS	V1F1	V1F2	V1F3	V1F4	V2OS	V2PS	V2F1	V2F2	V2F3	V2F4	V3OS	V3PS	V3F1	V3F2	V3F3	V3F4	V4OS	V4PS	V4F1	V4F2	V4F3	V4F4	V5OS	V5PS	V5F1	V5F2	V5F3	V5F4	V6OS	V6PS	V6F1	V6F2	V6F3	V6F4	V7OS	V7PS	V7F1	V7F2	V7F3	V7F4	V8OS	V8PS	V8F1	V8F2	V8F3	V8F4	V9OS	V9PS	V9F1	V9F2	V9F3	V9F4	V10OS	V10PS	V10F1	V10F2	V10F3	V10F4	V11OS	V11PS	V11F1	V11F2	V11F3	V11F4	V12OS	V12PS	V12F1	V12F2	V12F3	V12F4	V13OS	V13PS	V13F1	V13F2	V13F3	V13F4	V14OS	V14PS	V14F1	V14F2	V14F3	V14F4	F1Centroid	F1CentroidPosition	F1UCA	F2Centroid	F2CentroidPosition	F2UCA
fod	Foodo		NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North	2	Carrier sentence	Uniform	Yes	9	9S0	9	0	i		323	2103	XXX		e		437	2064	XXX		ɪ		442	2038	XXX		ɛ		639	1838	XXX		a		862	1441	XXX		ɔ		638	1010	XXX		ʊ		469	853	XXX		o		459	995	XXX		u		365	771	XXX																																514.8888889	0.35600907	533.749	1457	0.515015015	1291.812
fra	French	Standard New	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil	1	Isolation	Uniform	No	10	7S3a	7	3	i		250	2260			e		380	2240			ɛ		510	1900			a		770	1380			ɔ		500	1000			o		370	870			u		250	820			y		250	1810			ø		370	1420			œ		510	1460																											416	0.319230769	453.32	1516	0.483333333	1383.04
fra	French	Standard New	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil	10	Wordlist	Uniform	No	10	7S3a	7	3	i		308	2064	2976	3407	e		365	1961	2644	3362	ɛ		530	1718	2558	3300	a		684	1256	2503	3262	ɔ		531	998	2399	3278	o		383	793	2283	3256	u		315	764	2027	3118	y		300	1750	2120	3145	ø		381	1417	2235	3215	œ		517	1391	2379	3353																									431.4	0.3421875	450.144	1411.2	0.497846154	1272.3
fra	French	Standard New	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil	15	Running speech	Uniform	No	10	7S3a	7	3	i		310	2005	2784		e		370	1850	2545		ɛ		438	1717	2490		a		557	1444	2438		ɔ		456	1203	2420		o		397	1041	2477		u		371	1105	2470		y		336	1803	2425		ø		384	1474	2405		œ		400	1445	2440																										401.9	0.372064777	406.577	1508.7	0.485165975	1417.924
fra	French	Standard Old	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil	3	Isolation	Uniform	No	11	8R3a	8	3	i		250	2130	3250	3850	e		280	1950	2665	3365	ɛ		440	1830	2460	3300	a		530	1180	2350	3160	ɑ		480	930	2530	3400	ɔ		465	815	2765	3430	o		325	800	2900	3400	u		230	850		3290	y		310	1700	2050	3050	ø		400	1300	2200	2800	œ		415	1200	2200	2830																			375	0.483333333	347.3	1335	0.402255639	1320.03
fra	French	Standard Old	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil	5	Wordlist	Uniform	No	11	8R3a	8	3	i		281	2093	2973		e		355	1927	2550		ɛ		448	1789	2466		a		659	1329	2374		ɑ		618	1159	2189		ɔ		479	1142	2236		o		400	833	2232		u		289	856	2270		y		294	1810	2137		ø		356	1451	2290		œ		489	1381	2272																				424.3636364	0.379268879	428.798	1433.636364	0.476695527	1325.66
fra	French	Quebec	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil	6	Wordlist	Uniform	No	11	8R3a	8	3	i		250	2055			e		345	2020			ɛ		460	1770			a		615	1465			ɑ		605	1165			ɔ		485	1240			o		355	755			u		260	745			y		255	1825			ø		350	1460			œ		450	1525																					402.7272727	0.418430884	392.715	1456.818182	0.543372658	1257.21
fra	French	Quebec>Chicoutimi-Jonquiere	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil	19	Running speech	Uniform	No	11	8R3a	8	3	i		425	2277			e		450	2212			ɛ		593	1884			a		745	1665			ɑ		636	1185			ɔ		578	1135			o		447	885			u		409	901			y		427	1873			ø		444	1646			œ		587	1561																					521.9090909	0.336038961	540.376	1565.818182	0.489093521	1429.272
frr	North Frisian	Fering	IndoEuropean>Germanic>WestGermanic>AngloFrisian	10	Wordlist	Short	No	7	5S2a	5	2	ɪ		370	1960	2426		ɛ		515	1755	2401		a		748	1270	2380		ɔ		553	989	2336		ʊ		391	904	2259		ʏ		340	1556	2150		œ		448	1430	2247																																												444.1333333	0.350712251	462.988	1431.133333	0.480008925	1298.154
frr	North Frisian	Fering	IndoEuropean>Germanic>WestGermanic>AngloFrisian	10	Wordlist	Long	No	8	6L2	6	2	i		280	2208	2817		e		354	2181	2520		ɛ		644	1579	2529		ɒ		687	1050	2522		o		374	714	2555		u		307	761	2367		y		281	1675	2112		ø		370	1435	2177																																						444.1333333	0.350712251	462.988	1431.133333	0.480008925	1298.154
