confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,orth,name,pk,valueset_pk,word_pk
,StandardOrth,,,2-330-190-1,{},,marry,ˈmɛri ,63744,48745,59186
,StandardOrth,,,2-340-190-1,{},,marriage,ˈmɛrɪʤ ,63745,48746,58982
,StandardOrth,,,2-340-190-3,{},,wedding,ˈwɛdɪŋ ,63746,48746,58256
,StandardOrth,,,2-341-190-1,{},,divorce,dɪˈvɔrs ,63747,48747,58962
,StandardOrth,,,2-350-190-1,{},,father,ˈfɑðər ,63748,48748,58446
,StandardOrth,,,2-360-190-1,{},,mother,ˈmʌðər ,63749,48749,58329
,StandardOrth,,,2-370-190-1,{},,parents,ˈpɛrənts ,63750,48750,59099
,StandardOrth,,,2-380-190-1,{},,married man,ˈmɛrid mən ,63751,48751,58075
,StandardOrth,,,2-390-190-1,{},,married woman,ˈmɛrid ˈwʊmən ,63752,48752,58862
,StandardOrth,,,2-410-190-1,{},,son,sʌn ,63753,48753,58391
,StandardOrth,,,2-420-190-1,{},,daughter,ˈdɔtər ,63754,48754,58082
,StandardOrth,,,2-430-190-1,{},,offspring,ˈɔfˌsprɪŋ ,63755,48755,58899
,StandardOrth,,,2-440-190-1,{},,brother,ˈbrʌðər ,63756,48756,58453
,StandardOrth,,,2-444-190-1,{},,older brother,ˈoʊldər ˈbrʌðər ,63757,48757,58768
,StandardOrth,,,2-445-190-1,{},,younger brother,ˈjʌŋgər ˈbrʌðər ,63758,48758,58333
,StandardOrth,,,2-450-190-1,{},,sister,ˈsɪstər ,63759,48759,59481
,StandardOrth,,,2-454-190-1,{},,older sister,ˈoʊldər ˈsɪstər ,63760,48760,59148
,StandardOrth,,,2-455-190-1,{},,younger sister,ˈjʌŋgər ˈsɪstər ,63761,48761,59011
,StandardOrth,,,2-456-190-1,{},,sibling,ˈsɪblɪŋ ,63762,48762,59512
,StandardOrth,,,2-458-190-1,{},,twins,twɪnz ,63763,48763,59199
,StandardOrth,,,2-460-190-1,{},,grandfather,ˈgrændˌfɑðər ,63764,48764,58838
,StandardOrth,,,2-461-190-1,{},,old man,oʊld mən ,63765,48765,59442
